Pair,DA,DD,MP,MA,IN,SM,TP,TA,TR,WR,Mark,,Unique Marks,Frequency
gecko-eurc/usdc,1,10,4,100,10000,42,700.6,8519,2401,60.4,4250,,,
gecko-chf/usdc,1,10,4,100,10000,42,1210.6,5984,1899,74.25,4250,,,
gecko-eurc/usdc,1,2,5,100,10000,42,44.8,33896,8684,67.16,4252,,,
gecko-chf/usdc,1,2,5,100,10000,42,753.4,10214,4220,64.42,4252,,,
gecko-eurc/usdc,1,3,5,100,10000,42,1039,30002,6807,68.17,4253,,,
gecko-chf/usdc,1,3,5,100,10000,42,1286.6,10624,3748,67.17,4253,,,
gecko-eurc/usdc,1,4,5,100,10000,42,1501.6,27635,5751,67.44,4254,,,
gecko-chf/usdc,1,4,5,100,10000,42,1510.8,10884,3354,72.2,4254,,,
po-aud_chf_otc,1,5,5,100,10000,42,476.68,6521,1247,69.21,4255,,,
gecko-eurc/usdc,1,5,5,100,10000,42,1410.8,25240,4958,66.99,4255,,,
gecko-chf/usdc,1,5,5,100,10000,42,2027.2,10868,3080,72.78,4255,,,
gecko-eurc/usdc,1,6,5,100,10000,42,2922.4,22634,4318,69.79,4256,,,
gecko-chf/usdc,1,6,5,100,10000,42,1206.4,10526,2836,71.01,4256,,,
aud/cny,1,6,5,100,10000,42,29.6,1873,393,65.14,4256,,,
gecko-eurc/usdc,1,7,5,100,10000,42,2926.8,19890,3787,71.74,4257,,,
gecko-chf/usdc,1,7,5,100,10000,42,2466.6,10533,2645,74.91,4257,,,
po-aud_chf_otc,1,8,5,100,10000,42,421.85,4490,833,68.5,4258,,,
gecko-eurc/usdc,1,8,5,100,10000,42,2556.8,18811,3463,68.91,4258,,,
gecko-chf/usdc,1,8,5,100,10000,42,2147.6,9493,2353,77.64,4258,,,
gecko-eurc/usdc,1,9,5,100,10000,42,2737.2,17097,3140,68.9,4259,,,
gecko-chf/usdc,1,9,5,100,10000,42,2688,9678,2285,77.86,4259,,,
aud/cad,1,9,5,100,10000,42,122,1426,264,63.64,4259,,,
gecko-eurc/usdc,1,10,5,100,10000,42,2937.4,16103,2875,69.95,4260,,,
gecko-chf/usdc,1,10,5,100,10000,42,2413.8,9072,2092,77.91,4260,,,
gecko-eurc/usdc,1,2,6,100,10000,42,934.4,43720,8991,68.59,4262,,,
gecko-chf/usdc,1,2,6,100,10000,42,971,10918,4242,64.58,4262,,,
gecko-eurc/usdc,1,3,6,100,10000,42,3067.8,41970,7181,70.89,4263,,,
gecko-chf/usdc,1,3,6,100,10000,42,2067.4,12032,3792,67.82,4263,,,
gecko-eurc/usdc,1,4,6,100,10000,42,3312.8,42067,6203,71.14,4264,,,
gecko-chf/usdc,1,4,6,100,10000,42,2208.4,12836,3415,72.84,4264,,,
po-aud_chf_otc,1,5,6,100,10000,42,370.12,11257,1395,72.38,4265,,,
gecko-eurc/usdc,1,5,6,100,10000,42,4892.4,40536,5437,71.93,4265,,,
gecko-chf/usdc,1,5,6,100,10000,42,3172.8,13524,3163,73.82,4265,,,
gecko-eurc/usdc,1,6,6,100,10000,42,7056.8,37162,4772,74.57,4266,,,
gecko-chf/usdc,1,6,6,100,10000,42,1552,13118,2917,72.31,4266,,,
aud/cad,1,6,6,100,10000,42,18.8,2899,388,65.26,4266,,,
aud/cny,1,6,6,100,10000,42,170.4,3057,430,66.97,4266,,,
gecko-eurc/usdc,1,7,6,100,10000,42,6331.6,33362,4208,76.82,4267,,,
gecko-chf/usdc,1,7,6,100,10000,42,3817,13733,2745,77.23,4267,,,
po-aud_chf_otc,1,8,6,100,10000,42,570.01,8074,946,70,4268,,,
gecko-eurc/usdc,1,8,6,100,10000,42,6710.4,31995,3876,74.28,4268,,,
gecko-chf/usdc,1,8,6,100,10000,42,3395.6,12565,2449,78.88,4268,,,
gecko-eurc/usdc,1,9,6,100,10000,42,6334,29225,3519,75.17,4269,,,
gecko-chf/usdc,1,9,6,100,10000,42,4384,13166,2394,79.82,4269,,,
aud/cad,1,9,6,100,10000,42,186,2514,298,71.21,4269,,,
EUR/USDT,1,9,6,100,10000,42,7,20171,3074,74.12,4269,,,
gecko-eurc/usdc,1,10,6,100,10000,42,7564.6,28295,3256,74.73,4270,,,
gecko-chf/usdc,1,10,6,100,10000,42,4269.8,12688,2205,80.9,4270,,,
po-aud_chf_otc,1,8,1,100,10000,48,11.88,200,201,55.5,4818,,,
po-aud_chf_otc,1,5,2,100,10000,48,12.11,879,599,58.73,4825,,,
po-aud_chf_otc,1,8,2,100,10000,48,40.28,572,388,59.5,4828,,,
gecko-chf/usdc,1,4,3,100,10000,48,246.6,5742,2868,69.95,4834,,,
po-aud_chf_otc,1,5,3,100,10000,48,61.31,1875,849,63.81,4835,,,
gecko-chf/usdc,1,5,3,100,10000,48,287.6,5260,2549,70.04,4835,,,
gecko-chf/usdc,1,7,3,100,10000,48,356.4,4455,2086,71.36,4837,,,
po-aud_chf_otc,1,8,3,100,10000,48,85.72,1236,555,63.5,4838,,,
gecko-chf/usdc,1,8,3,100,10000,48,302.6,3985,1860,72.57,4838,,,
gecko-chf/usdc,1,9,3,100,10000,48,418.4,3808,1754,73.64,4839,,,
gecko-chf/usdc,1,10,3,100,10000,48,339.8,3424,1579,73.75,4840,,,
gecko-chf/usdc,1,2,4,100,10000,48,385,8966,4143,64.02,4842,,,
gecko-chf/usdc,1,3,4,100,10000,48,511.2,8838,3632,65.79,4843,,,
gecko-eurc/usdc,1,4,4,100,10000,48,40.8,16827,5079,61.95,4844,,,
gecko-chf/usdc,1,4,4,100,10000,48,827.4,8358,3195,69.95,4844,,,
po-aud_chf_otc,1,5,4,100,10000,48,201.79,3611,1067,68.89,4845,,,
gecko-chf/usdc,1,5,4,100,10000,48,922.8,8124,2907,70.04,4845,,,
gecko-eurc/usdc,1,6,4,100,10000,48,721.4,12766,3696,62.72,4846,,,
gecko-chf/usdc,1,6,4,100,10000,48,427,7556,2647,68,4846,,,
gecko-eurc/usdc,1,7,4,100,10000,48,928.8,11268,3249,64.24,4847,,,
gecko-chf/usdc,1,7,4,100,10000,48,1063.6,7247,2435,71.36,4847,,,
po-aud_chf_otc,1,8,4,100,10000,48,188.12,2444,707,67,4848,,,
gecko-eurc/usdc,1,8,4,100,10000,48,673.4,10357,2937,61.8,4848,,,
gecko-chf/usdc,1,8,4,100,10000,48,1019.4,6537,2179,72.57,4848,,,
gecko-eurc/usdc,1,9,4,100,10000,48,755.6,9445,2663,61.92,4849,,,
gecko-chf/usdc,1,9,4,100,10000,48,1426.4,6544,2097,73.64,4849,,,
gecko-eurc/usdc,1,10,4,100,10000,48,735,8481,2394,60.71,4850,,,
gecko-chf/usdc,1,10,4,100,10000,48,1175,6016,1903,73.75,4850,,,
gecko-eurc/usdc,1,2,5,100,10000,48,144.2,34036,8715,67.09,4852,,,
gecko-chf/usdc,1,2,5,100,10000,48,692.2,10214,4221,64.37,4852,,,
gecko-eurc/usdc,1,3,5,100,10000,48,1267.2,30024,6818,68.17,4853,,,
gecko-chf/usdc,1,3,5,100,10000,48,1224.8,10630,3744,66.91,4853,,,
gecko-eurc/usdc,1,4,5,100,10000,48,1634.4,27675,5758,67.37,4854,,,
gecko-chf/usdc,1,4,5,100,10000,48,1496.2,10742,3344,72.04,4854,,,
po-aud_chf_otc,1,5,5,100,10000,48,373.31,6523,1250,68.89,4855,,,
gecko-eurc/usdc,1,5,5,100,10000,48,1065.4,25310,4968,66.02,4855,,,
gecko-chf/usdc,1,5,5,100,10000,48,1956.4,10892,3080,72.4,4855,,,
gecko-eurc/usdc,1,6,5,100,10000,48,2913.4,22526,4306,69.79,4856,,,
gecko-chf/usdc,1,6,5,100,10000,48,1006.2,10404,2825,70.69,4856,,,
gecko-eurc/usdc,1,7,5,100,10000,48,3092,20020,3796,71.74,4857,,,
gecko-chf/usdc,1,7,5,100,10000,48,2385.2,10447,2635,74.91,4857,,,
po-aud_chf_otc,1,8,5,100,10000,48,247.48,4524,838,67,4858,,,
gecko-eurc/usdc,1,8,5,100,10000,48,2721.4,18821,3467,69.16,4858,,,
gecko-chf/usdc,1,8,5,100,10000,48,2165,9625,2372,77.09,4858,,,
gecko-eurc/usdc,1,9,5,100,10000,48,2883.6,17109,3142,68.9,4859,,,
gecko-chf/usdc,1,9,5,100,10000,48,2773.6,9776,2300,78.16,4859,,,
gecko-eurc/usdc,1,10,5,100,10000,48,2879,15985,2863,69.8,4860,,,
gecko-chf/usdc,1,10,5,100,10000,48,2387.8,9152,2099,77.74,4860,,,
gecko-eurc/usdc,1,2,6,100,10000,48,995.4,43668,9016,68.48,4862,,,
gecko-chf/usdc,1,2,6,100,10000,48,909.8,10918,4243,64.53,4862,,,
gecko-eurc/usdc,1,3,6,100,10000,48,3308.8,41864,7188,70.89,4863,,,
gecko-chf/usdc,1,3,6,100,10000,48,1973.6,12070,3789,67.56,4863,,,
gecko-eurc/usdc,1,4,6,100,10000,48,3477.6,42075,6209,71.08,4864,,,
gecko-chf/usdc,1,4,6,100,10000,48,2225.8,12662,3404,72.68,4864,,,
po-aud_chf_otc,1,5,6,100,10000,48,177.47,11227,1398,71.75,4865,,,
gecko-eurc/usdc,1,5,6,100,10000,48,4559.8,40766,5452,70.87,4865,,,
gecko-chf/usdc,1,5,6,100,10000,48,3102,13548,3163,73.53,4865,,,
po-aud_chf_otc,1,6,6,100,10000,48,38.08,10607,1242,68.3,4866,,,
gecko-eurc/usdc,1,6,6,100,10000,48,7086.2,36958,4757,74.67,4866,,,
gecko-chf/usdc,1,6,6,100,10000,48,1294.2,12996,2906,71.98,4866,,,
gecko-eurc/usdc,1,7,6,100,10000,48,6682.4,33652,4222,77.04,4867,,,
gecko-chf/usdc,1,7,6,100,10000,48,3754.8,13743,2738,77.23,4867,,,
po-aud_chf_otc,1,8,6,100,10000,48,267.32,8236,955,69,4868,,,
gecko-eurc/usdc,1,8,6,100,10000,48,6983.8,32069,3882,74.78,4868,,,
gecko-chf/usdc,1,8,6,100,10000,48,3464.2,12761,2470,78.6,4868,,,
gecko-eurc/usdc,1,9,6,100,10000,48,6589.2,29301,3523,75.45,4869,,,
gecko-chf/usdc,1,9,6,100,10000,48,4520.8,13328,2411,80.12,4869,,,
EUR/USDT,1,9,6,100,10000,48,5.8,20201,3077,74,4869,,,
gecko-eurc/usdc,1,10,6,100,10000,48,7455,28113,3242,74.42,4870,,,
gecko-chf/usdc,1,10,6,100,10000,48,4263,12864,2215,80.73,4870,,,
po-aud_chf_otc,1,5,1,100,10000,54,1.66,315,316,52.7,5415,,,
po-aud_chf_otc,1,8,1,100,10000,54,15.66,200,201,56.5,5418,,,
po-aud_chf_otc,1,5,2,100,10000,54,36.56,879,599,60,5425,,,
po-aud_chf_otc,1,6,2,100,10000,54,4.68,747,508,57.36,5426,,,
po-aud_chf_otc,1,8,2,100,10000,54,47.94,572,388,60,5428,,,
gecko-chf/usdc,1,4,3,100,10000,54,220.2,5736,2864,69.63,5434,,,
po-aud_chf_otc,1,5,3,100,10000,54,98.36,1863,846,64.76,5435,,,
gecko-chf/usdc,1,5,3,100,10000,54,281,5254,2547,69.94,5435,,,
po-aud_chf_otc,1,6,3,100,10000,54,16.44,1611,725,61.13,5436,,,
aud/cad,1,6,3,100,10000,54,11,529,243,63.16,5436,,,
gecko-chf/usdc,1,7,3,100,10000,54,347.8,4505,2102,71.11,5437,,,
po-aud_chf_otc,1,8,3,100,10000,54,101.46,1228,553,64,5438,,,
gecko-chf/usdc,1,8,3,100,10000,54,280,3977,1859,72.7,5438,,,
gecko-chf/usdc,1,9,3,100,10000,54,412.8,3828,1760,73.34,5439,,,
gecko-chf/usdc,1,10,3,100,10000,54,301.4,3412,1575,73.26,5440,,,
gecko-chf/usdc,1,2,4,100,10000,54,389.8,8972,4142,63.91,5442,,,
gecko-chf/usdc,1,3,4,100,10000,54,349.4,8782,3619,65.07,5443,,,
gecko-eurc/usdc,1,4,4,100,10000,54,59.4,16929,5096,61.88,5444,,,
gecko-chf/usdc,1,4,4,100,10000,54,794.6,8344,3190,69.63,5444,,,
po-aud_chf_otc,1,5,4,100,10000,54,248.92,3559,1059,69.84,5445,,,
gecko-chf/usdc,1,5,4,100,10000,54,949.8,8142,2908,69.94,5445,,,
po-aud_chf_otc,1,6,4,100,10000,54,1.88,3147,918,64.15,5446,,,
gecko-eurc/usdc,1,6,4,100,10000,54,588.6,12798,3703,62.24,5446,,,
gecko-chf/usdc,1,6,4,100,10000,54,468.6,7608,2656,68.21,5446,,,
aud/cad,1,6,4,100,10000,54,9.4,977,299,63.16,5446,,,
gecko-eurc/usdc,1,7,4,100,10000,54,893.2,11318,3256,64.02,5447,,,
gecko-chf/usdc,1,7,4,100,10000,54,1066.2,7329,2455,71.11,5447,,,
po-aud_chf_otc,1,8,4,100,10000,54,205.86,2404,701,67.5,5448,,,
gecko-eurc/usdc,1,8,4,100,10000,54,646.6,10337,2933,61.8,5448,,,
gecko-chf/usdc,1,8,4,100,10000,54,963.2,6505,2175,72.7,5448,,,
gecko-eurc/usdc,1,9,4,100,10000,54,722.4,9471,2667,61.65,5449,,,
gecko-chf/usdc,1,9,4,100,10000,54,1412.8,6572,2104,73.34,5449,,,
gecko-eurc/usdc,1,10,4,100,10000,54,715.2,8445,2388,60.55,5450,,,
gecko-chf/usdc,1,10,4,100,10000,54,1095,5988,1897,73.26,5450,,,
gecko-eurc/usdc,1,2,5,100,10000,54,33.2,34210,8726,67.02,5452,,,
gecko-chf/usdc,1,2,5,100,10000,54,671.4,10188,4218,64.27,5452,,,
gecko-eurc/usdc,1,3,5,100,10000,54,1558.4,30244,6846,68.69,5453,,,
gecko-chf/usdc,1,3,5,100,10000,54,1011.8,10510,3727,66.12,5453,,,
gecko-eurc/usdc,1,4,5,100,10000,54,1755.4,27905,5783,67.31,5454,,,
gecko-chf/usdc,1,4,5,100,10000,54,1431.4,10760,3341,71.71,5454,,,
po-aud_chf_otc,1,5,5,100,10000,54,440.6,6391,1237,69.84,5455,,,
gecko-eurc/usdc,1,5,5,100,10000,54,1011.8,25306,4970,65.94,5455,,,
gecko-chf/usdc,1,5,5,100,10000,54,1967.4,10926,3082,72.21,5455,,,
aud/cad,1,5,5,100,10000,54,39.8,1951,400,63.3,5455,,,
gecko-eurc/usdc,1,6,5,100,10000,54,2732.6,22606,4316,69.22,5456,,,
gecko-chf/usdc,1,6,5,100,10000,54,1060.6,10472,2835,70.91,5456,,,
aud/cad,1,6,5,100,10000,54,9.4,1697,344,63.16,5456,,,
aud/cny,1,6,5,100,10000,54,42.4,1889,392,65.14,5456,,,
gecko-eurc/usdc,1,7,5,100,10000,54,3014.8,20054,3802,71.3,5457,,,
gecko-chf/usdc,1,7,5,100,10000,54,2410.2,10593,2659,74.79,5457,,,
po-aud_chf_otc,1,8,5,100,10000,54,283.94,4436,829,67.5,5458,,,
gecko-eurc/usdc,1,8,5,100,10000,54,2656.2,18753,3460,69.16,5458,,,
gecko-chf/usdc,1,8,5,100,10000,54,2076.8,9625,2370,77.37,5458,,,
gecko-eurc/usdc,1,9,5,100,10000,54,2840.8,17231,3152,68.48,5459,,,
gecko-chf/usdc,1,9,5,100,10000,54,2769.6,9852,2310,77.86,5459,,,
aud/cad,1,9,5,100,10000,54,57.6,1368,257,60.61,5459,,,
gecko-eurc/usdc,1,10,5,100,10000,54,2961.6,15933,2856,69.8,5460,,,
gecko-chf/usdc,1,10,5,100,10000,54,2320.6,9140,2094,77.41,5460,,,
gecko-eurc/usdc,1,2,6,100,10000,54,890.8,44066,9034,68.37,5462,,,
gecko-chf/usdc,1,2,6,100,10000,54,946.6,10892,4240,64.42,5462,,,
gecko-eurc/usdc,1,3,6,100,10000,54,3984,42276,7222,71.46,5463,,,
gecko-chf/usdc,1,3,6,100,10000,54,1709.4,11886,3770,66.78,5463,,,
aud/cad,1,3,6,100,10000,54,33.4,3752,590,67.86,5463,,,
aud/cny,1,3,6,100,10000,54,9,4266,671,67.82,5463,,,
gecko-eurc/usdc,1,4,6,100,10000,54,3816.2,42433,6238,71.21,5464,,,
gecko-chf/usdc,1,4,6,100,10000,54,2186.6,12712,3402,72.36,5464,,,
po-aud_chf_otc,1,5,6,100,10000,54,285.08,10935,1380,72.7,5465,,,
gecko-eurc/usdc,1,5,6,100,10000,54,4391,40762,5454,70.47,5465,,,
gecko-chf/usdc,1,5,6,100,10000,54,3164.2,13646,3167,73.35,5465,,,
aud/cad,1,5,6,100,10000,54,110.2,3263,441,68.81,5465,,,
po-aud_chf_otc,1,6,6,100,10000,54,169.88,10475,1232,69.06,5466,,,
gecko-eurc/usdc,1,6,6,100,10000,54,6822.2,37006,4766,74.19,5466,,,
gecko-chf/usdc,1,6,6,100,10000,54,1374.2,13096,2917,72.2,5466,,,
aud/cad,1,6,6,100,10000,54,92.6,2881,381,66.32,5466,,,
aud/cny,1,6,6,100,10000,54,151.2,3105,430,66.97,5466,,,
gecko-eurc/usdc,1,7,6,100,10000,54,6579.6,33654,4227,76.71,5467,,,
gecko-chf/usdc,1,7,6,100,10000,54,3773.4,13953,2764,77.23,5467,,,
po-aud_chf_otc,1,8,6,100,10000,54,340.9,8052,943,69.5,5468,,,
gecko-eurc/usdc,1,8,6,100,10000,54,6835.4,31969,3874,74.78,5468,,,
gecko-chf/usdc,1,8,6,100,10000,54,3376,12761,2468,78.88,5468,,,
gecko-eurc/usdc,1,9,6,100,10000,54,6508,29519,3536,75.03,5469,,,
gecko-chf/usdc,1,9,6,100,10000,54,4510.4,13468,2423,79.82,5469,,,
aud/cad,1,9,6,100,10000,54,70.4,2392,289,68.18,5469,,,
gecko-eurc/usdc,1,10,6,100,10000,54,7576,27965,3232,74.88,5470,,,
gecko-chf/usdc,1,10,6,100,10000,54,4215,12948,2213,80.73,5470,,,
po-aud_chf_otc,1,5,1,100,10000,60,5.5,315,316,53.33,6015,,,
po-aud_chf_otc,1,8,1,100,10000,60,9.99,200,201,55,6018,,,
po-aud_chf_otc,1,5,2,100,10000,60,50.08,877,598,60.63,6025,,,
po-aud_chf_otc,1,6,2,100,10000,60,6.68,745,507,57.74,6026,,,
po-aud_chf_otc,1,8,2,100,10000,60,34.45,576,390,58.5,6028,,,
gecko-chf/usdc,1,4,3,100,10000,60,241.6,5756,2871,69.79,6034,,,
po-aud_chf_otc,1,5,3,100,10000,60,131.24,1857,844,65.4,6035,,,
gecko-chf/usdc,1,5,3,100,10000,60,281,5272,2552,70.04,6035,,,
po-aud_chf_otc,1,6,3,100,10000,60,18.76,1601,722,61.51,6036,,,
gecko-chf/usdc,1,7,3,100,10000,60,298.8,4509,2103,70.62,6037,,,
po-aud_chf_otc,1,8,3,100,10000,60,75.97,1244,558,62.5,6038,,,
gecko-chf/usdc,1,8,3,100,10000,60,327.6,3969,1856,73.25,6038,,,
gecko-chf/usdc,1,9,3,100,10000,60,432.2,3796,1751,73.19,6039,,,
gecko-chf/usdc,1,10,3,100,10000,60,311.8,3416,1576,73.26,6040,,,
gecko-chf/usdc,1,2,4,100,10000,60,369.6,8976,4141,63.56,6042,,,
gecko-chf/usdc,1,3,4,100,10000,60,294.6,8808,3630,64.88,6043,,,
gecko-chf/usdc,1,4,4,100,10000,60,806.4,8388,3200,69.79,6044,,,
po-aud_chf_otc,1,5,4,100,10000,60,313.32,3537,1055,70.48,6045,,,
gecko-chf/usdc,1,5,4,100,10000,60,929,8152,2912,70.04,6045,,,
po-aud_chf_otc,1,6,4,100,10000,60,12.2,3129,914,64.53,6046,,,
gecko-eurc/usdc,1,6,4,100,10000,60,373.8,12786,3701,61.28,6046,,,
gecko-chf/usdc,1,6,4,100,10000,60,516,7584,2650,68.64,6046,,,
gecko-eurc/usdc,1,7,4,100,10000,60,789.4,11330,3257,63.25,6047,,,
gecko-chf/usdc,1,7,4,100,10000,60,1007.6,7357,2459,70.62,6047,,,
po-aud_chf_otc,1,8,4,100,10000,60,164.37,2436,708,66,6048,,,
gecko-eurc/usdc,1,8,4,100,10000,60,679.2,10335,2931,62.05,6048,,,
gecko-chf/usdc,1,8,4,100,10000,60,1012.4,6481,2170,73.25,6048,,,
gecko-eurc/usdc,1,9,4,100,10000,60,697.6,9467,2666,61.51,6049,,,
gecko-chf/usdc,1,9,4,100,10000,60,1409.8,6476,2087,73.19,6049,,,
gecko-eurc/usdc,1,10,4,100,10000,60,723.6,8415,2384,60.86,6050,,,
gecko-chf/usdc,1,10,4,100,10000,60,1105.4,5992,1898,73.26,6050,,,
gecko-eurc/usdc,1,2,5,100,10000,60,85.8,34404,8749,67.16,6052,,,
gecko-chf/usdc,1,2,5,100,10000,60,654.4,10160,4215,63.86,6052,,,
gecko-eurc/usdc,1,3,5,100,10000,60,1506.2,30676,6900,68.02,6053,,,
gecko-chf/usdc,1,3,5,100,10000,60,944.2,10520,3737,65.92,6053,,,
gecko-eurc/usdc,1,4,5,100,10000,60,1303.6,27707,5764,66.91,6054,,,
gecko-chf/usdc,1,4,5,100,10000,60,1456,10820,3352,71.88,6054,,,
po-aud_chf_otc,1,5,5,100,10000,60,553.32,6321,1230,70.48,6055,,,
gecko-eurc/usdc,1,5,5,100,10000,60,1042.8,25410,4982,66.02,6055,,,
gecko-chf/usdc,1,5,5,100,10000,60,1962.6,10920,3085,72.21,6055,,,
po-aud_chf_otc,1,6,5,100,10000,60,23.08,5801,1082,65.28,6056,,,
gecko-eurc/usdc,1,6,5,100,10000,60,2319.4,22562,4312,68.36,6056,,,
gecko-chf/usdc,1,6,5,100,10000,60,1133.6,10480,2831,71.44,6056,,,
gecko-eurc/usdc,1,7,5,100,10000,60,2872.6,20162,3809,70.75,6057,,,
gecko-chf/usdc,1,7,5,100,10000,60,2322.8,10621,2663,74.3,6057,,,
po-aud_chf_otc,1,8,5,100,10000,60,241.17,4500,838,66,6058,,,
gecko-eurc/usdc,1,8,5,100,10000,60,2704.8,18735,3457,69.41,6058,,,
gecko-chf/usdc,1,8,5,100,10000,60,2129.2,9569,2363,77.78,6058,,,
gecko-eurc/usdc,1,9,5,100,10000,60,2883.2,17275,3154,68.62,6059,,,
gecko-chf/usdc,1,9,5,100,10000,60,2789,9676,2288,77.71,6059,,,
gecko-eurc/usdc,1,10,5,100,10000,60,3059.6,15871,2850,70.11,6060,,,
gecko-chf/usdc,1,10,5,100,10000,60,2331,9144,2095,77.57,6060,,,
gecko-eurc/usdc,1,2,6,100,10000,60,956.2,44420,9062,68.51,6062,,,
gecko-chf/usdc,1,2,6,100,10000,60,904,10832,4236,64.02,6062,,,
gecko-eurc/usdc,1,3,6,100,10000,60,3771.8,42868,7281,70.79,6063,,,
gecko-chf/usdc,1,3,6,100,10000,60,1616.2,11864,3779,66.58,6063,,,
gecko-eurc/usdc,1,4,6,100,10000,60,3351.6,42363,6223,70.81,6064,,,
gecko-chf/usdc,1,4,6,100,10000,60,2211.2,12772,3413,72.52,6064,,,
po-aud_chf_otc,1,5,6,100,10000,60,465,10737,1369,73.65,6065,,,
gecko-eurc/usdc,1,5,6,100,10000,60,4550,41026,5471,70.31,6065,,,
gecko-chf/usdc,1,5,6,100,10000,60,3133.8,13608,3169,73.35,6065,,,
po-aud_chf_otc,1,6,6,100,10000,60,257.64,10441,1227,69.43,6066,,,
gecko-eurc/usdc,1,6,6,100,10000,60,6287.4,37026,4764,73.33,6066,,,
gecko-chf/usdc,1,6,6,100,10000,60,1421.6,13072,2912,72.63,6066,,,
gecko-eurc/usdc,1,7,6,100,10000,60,6559,33986,4241,76.16,6067,,,
gecko-chf/usdc,1,7,6,100,10000,60,3660.4,13949,2767,76.62,6067,,,
po-aud_chf_otc,1,8,6,100,10000,60,295.57,8180,954,68.5,6068,,,
gecko-eurc/usdc,1,8,6,100,10000,60,6992.8,32015,3873,75.03,6068,,,
gecko-chf/usdc,1,8,6,100,10000,60,3402.8,12673,2460,79.29,6068,,,
gecko-eurc/usdc,1,9,6,100,10000,60,6716.8,29627,3540,75.31,6069,,,
gecko-chf/usdc,1,9,6,100,10000,60,4593.8,13228,2399,79.67,6069,,,
gecko-eurc/usdc,1,10,6,100,10000,60,7763.6,27871,3225,75.35,6070,,,
gecko-chf/usdc,1,10,6,100,10000,60,4225.4,12952,2214,80.73,6070,,,
